"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"BT1"	"2xCR2032"	"Device:Battery"	"mi-footprint:BatteryHolder_Keystone_3024"	"Multiple-cell battery"	""
"C3"	"22uF"	"Device:C"	"Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder"	"Unpolarized capacitor"	""
"C4"	"22uF"	"Device:C"	"Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder"	"Unpolarized capacitor"	""
"C5"	"22uF"	"Device:C"	"Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder"	"Unpolarized capacitor"	""
"C6"	"22uF"	"Device:C"	"Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder"	"Unpolarized capacitor"	""
"C7"	"0.1uF"	"Device:C"	"Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder"	"Unpolarized capacitor"	""
"D1"	"LED_RGB"	"Device:LED_RGB"	"mi-footprint:LED_Cree-SLV6A"	"RGB LED, 6 pin package"	""
"D2"	"LED_RGB"	"Device:LED_RGB"	"mi-footprint:LED_Cree-SLV6A"	"RGB LED, 6 pin package"	""
"J1"	"AVR-ISP-6"	"Connector:AVR-ISP-6"	"Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical"	"Atmel 6-pin ISP connector"	""
"Q1"	"MBT3904DW1T1G"	"dk_Transistors-Bipolar-BJT-Arrays:MBT3904DW1T1G"	"digikey-footprints:SOT-363"	"TRANS 2NPN 40V 0.2A SC88"	""
"R1"	"100"	"Device:R"	"Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder"	"Resistor"	""
"R2"	"68"	"Device:R"	"Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder"	"Resistor"	""
"R3"	"68"	"Device:R"	"Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder"	"Resistor"	""
"R4"	"100"	"Device:R"	"Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder"	"Resistor"	""
"R5"	"68"	"Device:R"	"Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder"	"Resistor"	""
"R6"	"68"	"Device:R"	"Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder"	"Resistor"	""
"R7"	"330"	"Device:R"	"Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder"	"Resistor"	""
"R8"	"10k"	"Device:R"	"Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder"	"Resistor"	""
"R9"	"10K"	"Device:R"	"Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder"	"Resistor"	""
"R10"	"330"	"Device:R"	"Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder"	"Resistor"	""
"R11"	"330"	"Device:R"	"Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder"	"Resistor"	""
"R12"	"6.8k"	"Device:R"	"Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder"	"Resistor"	""
"R13"	"6.8k"	"Device:R"	"Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder"	"Resistor"	""
"S1"	"222PJVAAR"	"dk_Tactile-Switches:1825910-6"	"mi-footprint:Switch_222PJVAAR"	"SWITCH TACTILE SPST-NO 0.05A 24V"	""
"U2"	"ATtiny84A-SSU"	"MCU_Microchip_ATtiny:ATtiny84A-SSU"	"Package_SO:SOIC-14_3.9x8.7mm_P1.27mm"	"20MHz, 8kB Flash, 512B SRAM, 512B EEPROM, debugWIRE, SOIC-14"	""
